id,title,released,country,master_id,status
261,GAK,1994-06-06,UK,80343,Accepted
2007,A Brand New Life,2000-06-00,France,,Accepted
4178,People Make The World Go Round,2000-02-00,US,34489,Accepted
4749,Circus Bells,2001,Germany,16209,Accepted
5178,I'm Strong,1993,Belgium,5721,Accepted
9881,Muzik Fantastic,1998,France,,Accepted
12033,D'Arcangelo EP,1996,UK,12356,Accepted
12887,S.I.L.I.A. EP,1997-00-00,UK,982371,Accepted
15643,Gettin' It On,1998,UK,264581,Accepted
16011,Underwater,2000-00-00,Sweden,234359,Accepted
16698,Out There / Do Tha Do,2001-04-02,UK,374568,Accepted
21558,Mental Abuse,2001-00-00,US,,Accepted
22001,14+ Unbearable Candies,2001-01-00,UK,,Accepted
23407,Muffler Man,1997,US,733025,Accepted
25436,Kik EP,2001-02-21,Belgium,1629904,Accepted
36422,Let's Go Deep,2002-02-00,Germany,82908,Accepted
40589,Fromtheoldtothenew,1996,UK,30901,Accepted
44707,Milk (Rabbit In The Moon Remixes),1996-11-04,UK,69504,Accepted
45221,Bass It Up,1987,US,20864,Accepted
46205,Too Funky,2000,Belgium,667518,Accepted
48400,Send Up Another Chimp,2002-10-00,UK,,Accepted
48550,Gangster Trippin,1998-10-05,Europe,14378,Accepted
50082,The Bermuda Triangle,1986-08-15,Japan,27959,Accepted
50795,Another Way / Avenue,1999-12-07,US,25561,Accepted
52199,Fuck All Night,2000,Australia,1315090,Accepted
57415,Rock'n Roll,2001,Germany,,Accepted
60074,Halfway Between The Gutter And The Stars,2000,US,72996,Accepted
67497,Smile To Shine,2001,UK,120591,Accepted
68286,Graduate,1995,Germany,280894,Accepted
68366,Airto,2000-08-00,Europe,401918,Accepted
71532,Cult Copy,2002,Netherlands,327499,Accepted
71926,Ruff Justice / Plugged-In,2002,UK,824908,Accepted
74058,Volume V,1993,UK,799435,Accepted
77051,Wings Of The Eagle,2001,Germany,106415,Accepted
77125,InsideOut,1999,Germany,1790918,Accepted
80790,Groove Like That,2002,UK,1842193,Accepted
84027,Remove The Fix,1995,Netherlands,,Accepted
93010,Strong Enough,1994,Sweden,,Accepted
101822,Natural High,1994,UK,156199,Accepted
103254,Flair / Return Of Memory,2002,Italy,579136,Accepted
105681,A Taste Of Honey,1978,Germany,52566,Accepted
106634,Married To The Music,2000,UK,258042,Accepted
107894,Such A Rush,1995,UK,1239243,Accepted
108240,Friday Afternoon,,US,,Accepted
108342,Roots,2003-01-00,Hong Kong,261240,Accepted
112572,To The Midwest Again,1996,US,489776,Accepted
114381,"230,000 Miles E.P.",1996-02-00,UK,716021,Accepted
116860,White Witch,1977,US,204628,Accepted
120307,Protect Your Mind (For The Love Of A Princess),1999,UK,105444,Accepted
121091,Around The Planet,1988,Germany,62243,Accepted
124760,The Rhyme,2001,US,,Accepted
126459,Trippin' On Sunshine,1995,UK,100602,Accepted
126599,Free Call,2000-01-22,Switzerland,193559,Accepted
127897,Vintage Stuff EP,2003-03-00,UK,681602,Accepted
129216,Sweet Magic,1978,US,88111,Accepted
134528,Universal Daddy,1986-11-00,Europe,71691,Accepted
138089,Only You,1989,Italy,115494,Accepted
138107,Jump Around / House Of Pain Anthem,1992,US,70212,Accepted
140038,Get Down On It (Medley),1985,UK,355018,Accepted
140345,NovaMute : Version 1.1,1993,US,56762,Accepted
141273,Analog Elements Vol.2,1995,Germany,,Accepted
142123,The Bouncer,1992,Germany,64899,Accepted
145125,Better Than Sex,1991-07-00,US,79554,Accepted
145948,The Projects (PJays),1999,US,,Accepted
151679,Enter The Monk (Freq Nasty Mix),2000,UK,152103,Accepted
159698,I House U (Remixes),1995,Germany,79894,Accepted
162062,End Of Line,2001,Germany,407790,Accepted
162517,Goa Beach,2002-07-29,UK,654068,Accepted
165116,Rubberbandman,1991-05-13,Europe,40067,Accepted
165297,Superfly And Bindi,1998,UK & Europe,148503,Accepted
165566,Mantra For A State Of Mind,1989,Germany,92286,Accepted
169902,Hold Me In Your Arms,1991-09-20,Italy,91642,Accepted
171100,PM 2 AM,2003,US,,Accepted
174232,Bachelorette,1997,US,34409,Accepted
174932,The ★ Collection,1991,Europe,866496,Accepted
175232,Move,1996,US,162418,Accepted
178375,Bring Back The Bus Stop,1990,UK,133064,Accepted
181610,House Music EP,2001,Netherlands,,Accepted
182340,Burn It Up (Mr. D.J.),1983,Netherlands,127160,Accepted
184029,Fearless,1999,Sweden,241675,Accepted
188868,Find Me (Odyssey To Anyoona) (Remix),1994,Germany,92419,Accepted
191101,One Colour Just Reflects Another,2003-10-07,Canada,142271,Accepted
191888,Power,1991,Italy,179214,Accepted
192044,"A Basement, A Red Light & A Feelin' • Volume 2",2002,UK,170483,Accepted
196552,Drum Technique,2000,US,,Accepted
198113,4 Track E.P.,2002,US,1489478,Accepted
198232,Da Sunshine Groove,2003-06-04,Belgium,481445,Accepted
199211,Fuck On Cocaine (The Remixes),2001,US,143861,Accepted
200001,Psychotraumatic Paranox Troubles • Session 1,1995,Belgium,1808306,Accepted
200209,Forcing Tomorrow,1994,Germany,23203,Accepted
