release_id,artist_id,artist_name,extra,anv,position,join_string,role,tracks
261,46,GAK,0,,1,,,
261,445854,The Designers Republic,1,The Designers Republic... naturally,1,,Artwork,
261,46,GAK,1,,2,,"Written-By, Producer",
2007,2504,Le Dav,0,,1,,,
2007,2027,David Duriez,1,,1,,Written-By,
4178,3496,Innerzone Orchestra,0,,1,Featuring,,
4178,232877,Paul Randolph,0,,2,,,
4178,471429,Mark Richardson (3),1,M.J.R.,1,,Lacquer Cut By,
4178,871,Carl Craig,1,,2,,Producer,
4178,232877,Paul Randolph,1,,3,,Vocals [Featuring],
4178,387498,Linda Creed,1,Creed,4,,Written-By,
4178,164262,Thom Bell,1,Bell,5,,Written-By,
4749,857,Robert Armani,0,,1,,,
4749,716158,Daniel Krieger,1,K,1,,Lacquer Cut By,
4749,857,Robert Armani,1,,2,,Written-By,
5178,2977,Fingers Inc.,0,,1,,,
5178,2977,Fingers Inc.,1,,1,,"Producer, Written-By",
9881,10178,Star Deluxe,0,,1,,,
9881,405675,Jean-Christophe Beaudon,1,JC,1,,Lacquer Cut By,
9881,405675,Jean-Christophe Beaudon,1,J.C,2,,Mastered By,
9881,10178,Star Deluxe,1,,3,,"Written-By, Producer, Edited By",
12033,2240,D'Arcangelo,0,,1,,,
12033,799049,F. & M. D'Arcangelo,1,F. M. D'Arcangelo,1,,Composed By [All Compositions],
12887,4645,Gaetek,0,,1,,,
15643,14785,Freaky Jalapeno,0,,1,,,
16011,14949,A-J-Scent,0,,1,,,
16011,103454,Justin Brett,1,,1,,"Producer, Written-By",
16698,8349,BK,0,,1,&,,
16698,16614,Alan Thompson,0,,2,,,
21558,2185,Lester Fitzpatrick,0,,1,,,
21558,2185,Lester Fitzpatrick,1,,1,,"Written-By, Producer",
22001,194,Various,0,,1,,,
23407,960308,Rubycon (2),0,,1,,,
23407,2597,Fanon Flowers,1,,1,,Composed By,
25436,19313,DJ Dex,0,,1,vs.,,
25436,21337,Xed,0,,2,,,
36422,20115,Melchior Productions,0,,1,,,
36422,49217,Peter Ford,1,,1,,Mixed By [Additional],
36422,56546,Thomas Melchior,1,,2,,"Producer, Programmed By, Mixed By",
36422,12601,Tim Hutton,1,,3,,Programmed By [Additional],
40589,5646,Stasis,0,,1,,,
40589,1839918,Kelvin Govey,1,,1,,Design [Cover Design],
40589,2496309,Nic Pearce,1,,2,,Photography By,
40589,5646,Stasis,1,,3,,"Written-By, Producer, Mixed By",
44707,12332,Garbage,0,,1,,,
44707,960,Rabbit In The Moon,1,,1,,Remix,
45221,37191,DXJ And The Bassonlians,0,,1,,,
45221,436862,Dimitrius,1,Demitrius,1,,"Arranged By, Producer",
45221,80040,DXJ,1,,2,,Executive-Producer,
45221,768242,Nicholas J. Salerno,1,Mr. Sal,3,,Executive-Producer,
45221,444304,Jose Martin (2),1,,4,,Guitar,
45221,352925,Mike Fuller,1,Michael Fuller,5,,Mastered By,
45221,774352,Greg Stefani,1,"\"Greg \"\"Boomalizer\"\" Stefani\"",6,,Recorded By,
45221,303559,Claudio Barrella,1,,7,,Scratches [Cuts By],
45221,80040,DXJ,1,Dee X. Jay,8,,Written-By,
46205,5975,DJ Garry,0,,1,,,
46205,5975,DJ Garry,1,,1,,"Written-By, Composed By, Producer",
46205,41294,Frank T. Wallace,1,,2,,"Written-By, Composed By, Producer",
48400,21201,Gideon Jackson,0,,1,,,
48400,201123,Daniel Poli,1,,1,,Engineer,
48400,354214,Chris Alexander,1,,2,,Mastered By,
48400,21201,Gideon Jackson,1,,3,,"Written-By, Producer",
48550,3101,Fatboy Slim,0,,1,,,
48550,804752,Red Design,1,,1,,Design [Sleeve Designed By],
48550,59261,Simon Thornton,1,,2,,"Engineer [Engineered By], Mixed By",
48550,3101,Fatboy Slim,1,,3,,Producer [Produced By],
50082,39885,Tomita,0,,1,,,
50082,39885,Tomita,1,Isao Tomita,1,,Composed By [Elictronically Created By],
50082,1133665,"Plasma Music, Inc.",1,,2,,Producer [Produced By],
50795,1049,Paul van Dyk,0,,1,,,
50795,384518,Marc Schilkowski,1,,1,,Artwork,
50795,1049,Paul van Dyk,1,,2,,"Mixed By, Producer, Written-By",
50795,484092,Olaf Heine,1,,3,,Photography By [Original],
52199,41854,The Real Thing (2),0,,1,,,
57415,46498,DJ Pumphead,0,,1,,,
57415,176057,Dennis Siemion,1,,1,,"Written-By, Producer",
57415,81688,Gregor Torz,1,,2,,"Written-By, Producer",
