release_id,genre
261,Electronic
2007,Electronic
4178,Electronic
4749,Electronic
5178,Electronic
9881,Electronic
12033,Electronic
12887,Electronic
15643,Electronic
16011,Electronic
16698,Electronic
21558,Electronic
22001,Electronic
23407,Electronic
25436,Electronic
36422,Electronic
40589,Electronic
44707,Electronic
45221,Hip Hop
46205,Electronic
48400,Electronic
48550,Electronic
50082,Electronic
50795,Electronic
52199,Electronic
57415,Electronic
60074,Electronic
67497,Electronic
68286,Electronic
68366,Electronic
71532,Electronic
71926,Electronic
74058,Electronic
77051,Electronic
77125,Electronic
80790,Electronic
84027,Electronic
93010,Electronic
101822,Electronic
103254,Electronic
105681,Electronic
105681,Funk / Soul
106634,Electronic
107894,Electronic
108240,Electronic
108342,Electronic
112572,Electronic
114381,Electronic
116860,Electronic
120307,Electronic
121091,Electronic
124760,Electronic
126459,Electronic
126599,Electronic
127897,Electronic
129216,Funk / Soul
134528,Electronic
138089,Electronic
138107,Hip Hop
140038,Funk / Soul
140345,Electronic
141273,Electronic
142123,Electronic
145125,Electronic
145948,Hip Hop
151679,Electronic
159698,Electronic
162062,Electronic
162517,Electronic
165116,Electronic
165297,Electronic
165566,Electronic
169902,Electronic
171100,Electronic
174232,Electronic
174232,Non-Music
174232,Pop
174932,Electronic
175232,Electronic
178375,Electronic
178375,Funk / Soul
181610,Electronic
182340,Electronic
184029,Electronic
188868,Electronic
191101,Electronic
191888,Electronic
192044,Electronic
196552,Electronic
198113,Electronic
198232,Electronic
199211,Electronic
200001,Electronic
200209,Electronic
200484,Electronic
204404,Electronic
209654,Electronic
210729,Electronic
213971,Electronic
216571,Electronic
218119,Electronic
218924,Electronic
219483,Electronic
220202,Electronic
221385,Electronic
222308,Electronic
223370,Electronic
224446,Electronic
224446,Reggae
225700,Electronic
227653,Hip Hop
228145,Electronic
228675,Electronic
235806,Electronic
236256,Electronic
240916,Electronic
241636,Electronic
243786,Hip Hop
245489,Electronic
245735,Electronic
246621,Electronic
249201,Funk / Soul
250695,Electronic
250963,Electronic
252672,Electronic
252672,Latin
253447,Electronic
257470,Electronic
260315,Electronic
295869,Electronic
295869,Hip Hop
295869,Jazz
305923,Electronic
306286,Electronic
308025,Electronic
308640,Electronic
308669,Electronic
309003,Electronic
309290,Electronic
311508,Hip Hop
313709,Funk / Soul
322472,Electronic
322472,Rock
323293,Rock
323293,Pop
323584,Electronic
323584,Rock
324787,Funk / Soul
327022,Electronic
327319,Electronic
328179,Electronic
330994,Electronic
332350,Electronic
334457,Electronic
335900,Electronic
337143,Electronic
337143,Funk / Soul
340502,Electronic
341743,Electronic
342800,Electronic
348316,Reggae
353489,Electronic
355204,Jazz
358245,Electronic
362492,Electronic
362715,Hip Hop
367077,Rock
367725,Rock
376397,Electronic
390299,Pop
392546,Jazz
393046,Rock
396223,Rock
398173,Electronic
398173,Rock
402494,Electronic
404366,Electronic
404968,Electronic
406585,Electronic
408700,Funk / Soul
411214,Electronic
412237,Jazz
413961,Rock
415417,Electronic
416484,Electronic
416894,Electronic
417877,Electronic
418339,Rock
418467,Electronic
420850,Electronic
423337,Electronic
430072,Rock
433718,Electronic
433718,Rock
433718,Non-Music
433718,"Folk, World, & Country"
434074,Electronic
439163,Electronic
442614,Rock
446327,Rock
456269,Electronic
456284,Reggae
458574,Electronic
460859,Electronic
461709,Electronic
461709,Rock
461786,Electronic
466518,Electronic
470335,Electronic
471263,Electronic
471263,Rock
481725,Electronic
482206,Electronic
484486,Jazz
488648,Electronic
488648,Funk / Soul
489148,Funk / Soul
489877,Electronic
492579,Funk / Soul
493401,Electronic
497648,Rock
498547,Hip Hop
500154,Electronic
501843,Hip Hop
501843,Jazz
501843,Rock
501843,Pop
508011,Electronic
508707,Electronic
508707,Hip Hop
513828,Reggae
517664,Electronic
518954,Funk / Soul
518954,Pop
522929,Electronic
522929,Hip Hop
523792,Electronic
528869,Electronic
528882,Electronic
531521,Electronic
533112,Electronic
537276,Hip Hop
540456,Rock
544769,Hip Hop
547403,Electronic
547949,Electronic
547949,Rock
557202,Electronic
558521,Rock
558988,Electronic
558988,Rock
562073,Funk / Soul
563057,Electronic
563057,Rock
567111,Electronic
569131,Electronic
569466,Electronic
569466,Hip Hop
569466,Pop
569466,Stage & Screen
571004,Rock
573713,Electronic
578706,Electronic
580263,Electronic
586358,Rock
592068,Electronic
594237,Electronic
595591,Electronic
596322,Hip Hop
596700,Electronic
596973,Rock
597623,Electronic
598450,Rock
600596,Electronic
602319,Electronic
608626,Electronic
608626,Reggae
611821,Electronic
611821,Rock
612017,Electronic
