release_id,style
261,Techno
261,Experimental
2007,House
2007,Downtempo
4178,Deep House
4749,Techno
5178,Techno
5178,Deep House
9881,House
12033,Electro
12033,Rhythmic Noise
12033,IDM
12887,Techno
15643,Breakbeat
16011,Techno
16011,Tech House
16698,Hard House
21558,Techno
22001,IDM
22001,Minimal
23407,Techno
25436,Jumpstyle
25436,Hard House
36422,Deep House
36422,Tech House
36422,Minimal
40589,Techno
40589,IDM
40589,Ambient
44707,Progressive House
44707,Breaks
44707,Tribal House
45221,Bass Music
45221,Cut-up/DJ
46205,Trance
46205,Acid
48400,Tech House
48550,Big Beat
50082,Ambient
50082,Modern Classical
50795,Trance
50795,Progressive Trance
52199,Hard House
52199,House
57415,Techno
57415,Acid
60074,Breakbeat
60074,House
67497,House
67497,Deep House
68286,Trance
68366,Broken Beat
68366,Future Jazz
68366,Latin
71532,Techno
71926,Drum n Bass
74058,Breakbeat
74058,Hardcore
74058,Jungle
77051,Trance
77125,Techno
80790,House
84027,House
93010,Acid
93010,House
101822,Breakbeat
101822,Techno
101822,Downtempo
103254,Techno
105681,Disco
106634,House
106634,Deep House
107894,House
107894,Hard House
108240,House
108240,Deep House
108342,Tribal
108342,Techno
112572,Techno
112572,Acid
114381,Goa Trance
116860,Disco
120307,Trance
121091,Synth-pop
124760,Progressive House
124760,House
126459,House
126599,House
126599,Deep House
127897,Techno
129216,Disco
129216,Soul
129216,Funk
134528,Synth-pop
138089,Eurobeat
138089,Hi NRG
140038,Disco
140345,Trance
140345,Techno
140345,Acid
141273,Techno
141273,Hard Trance
141273,Acid
142123,Breakbeat
142123,Hardcore
145125,House
145125,Garage House
151679,Breakbeat
159698,House
162062,Techno
162517,Downtempo
162517,Psy-Trance
162517,Progressive Trance
162517,Ambient
165116,Electro
165116,Synth-pop
165297,Leftfield
165297,Progressive House
165297,Deep House
165566,House
169902,Euro House
169902,House
171100,Techno
171100,Tribal
174232,Leftfield
174232,Promotional
174932,Modern Classical
174932,Synth-pop
175232,House
178375,House
178375,Acid
181610,House
182340,Hi NRG
182340,Disco
184029,EBM
188868,Progressive House
188868,Euro House
188868,Progressive Trance
191101,Latin
191101,Trip Hop
191888,Techno
192044,House
192044,Deep House
192044,Garage House
196552,Breaks
198113,Breaks
198232,House
198232,Disco
199211,Hard House
199211,Tribal House
200001,Techno
200001,Minimal
200001,Acid
200209,Trance
200209,Acid
200484,House
200484,Latin
200484,Tribal House
204404,IDM
204404,Downtempo
204404,Ambient
209654,Hardcore
209654,Techno
210729,Hard House
210729,Hard Trance
213971,Tech House
216571,Trance
216571,Downtempo
216571,Ambient
218119,Leftfield
218119,Synth-pop
218119,Ambient
218924,House
219483,Techno
220202,Abstract
220202,Downtempo
220202,Ambient
221385,Breaks
221385,Electro
221385,Techno
222308,Goa Trance
223370,Dub
224446,Dub
224446,Trip Hop
224446,Ragga HipHop
224446,Hip-House
225700,IDM
225700,Downtempo
225700,Ambient
227653,Pop Rap
228145,Euro House
228675,House
228675,Makina
228675,Euro House
228675,Trance
235806,Abstract
235806,Experimental
236256,Drum n Bass
236256,Jungle
240916,Electro
241636,Progressive House
241636,House
245489,Leftfield
245489,Trip Hop
245489,Ambient
245735,Goa Trance
245735,Psy-Trance
246621,Hard Trance
249201,Disco
250695,House
250695,UK Garage
250963,Techno
250963,Electro
250963,Tech House
252672,House
252672,Latin
253447,Industrial
253447,Dub Techno
253447,IDM
257470,Drum n Bass
260315,Trance
295869,Future Jazz
295869,Jazzdance
295869,Experimental
305923,Trance
306286,Hardcore
308025,Synth-pop
308640,House
308640,Trance
308669,Acid House
308669,New Beat
309003,House
309290,House
309290,Acid House
311508,Instrumental
311508,Electro
313709,Funk
322472,Synth-pop
322472,New Wave
323293,Acoustic
323293,Pop Rock
323293,Indie Rock
323584,Avantgarde
323584,Experimental
324787,Disco
327022,Techno
327022,Trance
327319,Progressive House
327319,Ambient
328179,Hard House
328179,Techno
330994,Techno
330994,Experimental
332350,Breakbeat
332350,Downtempo
334457,Drum n Bass
334457,Jungle
335900,Broken Beat
335900,Future Jazz
335900,Soul
335900,Latin
337143,Synth-pop
337143,Funk
337143,Minneapolis Sound
340502,Synth-pop
341743,Techno
342800,Downtempo
348316,Dancehall
353489,Deep House
353489,Tech House
355204,Hard Bop
355204,Jazz-Funk
358245,Progressive Trance
362492,Hardstyle
362492,Techno
367077,Speed Metal
367077,Death Metal
367725,Indie Rock
376397,Deep House
376397,Tech House
390299,Europop
392546,Easy Listening
393046,Alternative Rock
393046,Indie Rock
396223,Art Rock
396223,Black Metal
396223,Prog Rock
396223,Experimental
